date,new_cases,total_cases,new_vaccinations,total_vaccinations,new_deaths,total_deaths
2020-01-22,,1.0,,,,
2020-01-23,0.0,1.0,,,,
2020-01-24,1.0,2.0,,,,
2020-01-25,0.0,2.0,,,,
2020-01-26,3.0,5.0,,,,
2020-01-27,0.0,5.0,,,,
2020-01-28,0.0,5.0,,,,
2020-01-29,1.0,6.0,,,,
2020-01-30,0.0,6.0,,,,
2020-01-31,2.0,8.0,,,,
2020-02-01,0.0,8.0,,,,
2020-02-02,0.0,8.0,,,,
2020-02-03,3.0,11.0,,,,
2020-02-04,0.0,11.0,,,,
2020-02-05,0.0,11.0,,,,
2020-02-06,1.0,12.0,,,,
2020-02-07,0.0,12.0,,,,
2020-02-08,0.0,12.0,,,,
2020-02-09,0.0,12.0,,,,
2020-02-10,0.0,12.0,,,,
2020-02-11,1.0,13.0,,,,
2020-02-12,0.0,13.0,,,,
2020-02-13,1.0,14.0,,,,
2020-02-14,0.0,14.0,,,,
2020-02-15,0.0,14.0,,,,
2020-02-16,0.0,14.0,,,,
2020-02-17,0.0,14.0,,,,
2020-02-18,0.0,14.0,,,,
2020-02-19,0.0,14.0,,,,
2020-02-20,0.0,14.0,,,,
2020-02-21,2.0,16.0,,,,
2020-02-22,0.0,16.0,,,,
2020-02-23,0.0,16.0,,,,
2020-02-24,0.0,16.0,,,,
2020-02-25,0.0,16.0,,,,
2020-02-26,0.0,16.0,,,,
2020-02-27,1.0,17.0,,,,
2020-02-28,0.0,17.0,,,,
2020-02-29,8.0,25.0,,,1.0,1.0
2020-03-01,7.0,32.0,,,0.0,1.0
2020-03-02,23.0,55.0,,,5.0,6.0
2020-03-03,19.0,74.0,,,1.0,7.0
2020-03-04,33.0,107.0,,,4.0,11.0
2020-03-05,77.0,184.0,,,1.0,12.0
2020-03-06,53.0,237.0,,,2.0,14.0
2020-03-07,166.0,403.0,,,3.0,17.0
2020-03-08,116.0,519.0,,,4.0,21.0
2020-03-09,75.0,594.0,,,1.0,22.0
2020-03-10,188.0,782.0,,,6.0,28.0
2020-03-11,365.0,1147.0,,,5.0,33.0
2020-03-12,439.0,1586.0,,,10.0,43.0
2020-03-13,633.0,2219.0,,,8.0,51.0
2020-03-14,759.0,2978.0,,,7.0,58.0
2020-03-15,234.0,3212.0,,,12.0,70.0
2020-03-16,1467.0,4679.0,,,27.0,97.0
2020-03-17,1833.0,6512.0,,,37.0,134.0
2020-03-18,2657.0,9169.0,,,60.0,194.0
2020-03-19,4494.0,13663.0,,,72.0,266.0
2020-03-20,6367.0,20030.0,,,106.0,372.0
2020-03-21,5995.0,26025.0,,,103.0,475.0
2020-03-22,8919.0,34944.0,,,128.0,603.0
2020-03-23,11152.0,46096.0,,,187.0,790.0
2020-03-24,10618.0,56714.0,,,243.0,1033.0
2020-03-25,12127.0,68841.0,,,333.0,1366.0
2020-03-26,17821.0,86662.0,,,417.0,1783.0
2020-03-27,18591.0,105253.0,,,522.0,2305.0
2020-03-28,22164.0,127417.0,,,713.0,3018.0
2020-03-29,16127.0,143544.0,,,555.0,3573.0
2020-03-30,22154.0,165698.0,,,707.0,4280.0
2020-03-31,26381.0,192079.0,,,1079.0,5359.0
2020-04-01,35814.0,227893.0,,,1637.0,6996.0
2020-04-02,32276.0,260169.0,,,1549.0,8545.0
2020-04-03,32440.0,292609.0,,,1428.0,9973.0
2020-04-04,31719.0,324328.0,,,1620.0,11593.0
2020-04-05,28775.0,353103.0,,,1623.0,13216.0
2020-04-06,31991.0,385094.0,,,1763.0,14979.0
2020-04-07,30150.0,415244.0,,,2606.0,17585.0
2020-04-08,31244.0,446488.0,,,2152.0,19737.0
2020-04-09,36022.0,482510.0,,,2256.0,21993.0
2020-04-10,34189.0,516699.0,,,2214.0,24207.0
2020-04-11,28979.0,545678.0,,,2104.0,26311.0
2020-04-12,25858.0,571536.0,,,1883.0,28194.0
2020-04-13,27244.0,598780.0,,,2001.0,30195.0
2020-04-14,28497.0,627277.0,,,2481.0,32676.0
2020-04-15,26375.0,653652.0,,,2624.0,35300.0
2020-04-16,29673.0,683325.0,,,2187.0,37487.0
2020-04-17,33148.0,716473.0,,,2104.0,39591.0
2020-04-18,27325.0,743798.0,,,1943.0,41534.0
2020-04-19,25035.0,768833.0,,,1967.0,43501.0
2020-04-20,30653.0,799486.0,,,2286.0,45787.0
2020-04-21,25941.0,825427.0,,,2452.0,48239.0
2020-04-22,29946.0,855373.0,,,2465.0,50704.0
2020-04-23,32050.0,887423.0,,,2428.0,53132.0
2020-04-24,31497.0,918920.0,,,2064.0,55196.0
2020-04-25,30591.0,949511.0,,,1739.0,56935.0
2020-04-26,25865.0,975376.0,,,1415.0,58350.0
2020-04-27,24738.0,1000114.0,,,1487.0,59837.0
2020-04-28,24527.0,1024641.0,,,2232.0,62069.0
2020-04-29,26799.0,1051440.0,,,2374.0,64443.0
2020-04-30,29559.0,1080999.0,,,2192.0,66635.0
2020-05-01,34846.0,1115845.0,,,1880.0,68515.0
2020-05-02,26609.0,1142454.0,,,1743.0,70258.0
2020-05-03,23579.0,1166033.0,,,1203.0,71461.0
2020-05-04,24020.0,1190053.0,,,1370.0,72831.0
2020-05-05,24052.0,1214105.0,,,2179.0,75010.0
2020-05-06,24390.0,1238495.0,,,2321.0,77331.0
2020-05-07,27625.0,1266120.0,,,1906.0,79237.0
2020-05-08,27137.0,1293257.0,,,1769.0,81006.0
2020-05-09,24145.0,1317402.0,,,1471.0,82477.0
2020-05-10,18693.0,1336095.0,,,1001.0,83478.0
2020-05-11,19258.0,1355353.0,,,1026.0,84504.0
2020-05-12,23484.0,1378837.0,,,1592.0,86096.0
2020-05-13,20068.0,1398905.0,,,1695.0,87791.0
2020-05-14,25878.0,1424783.0,,,1769.0,89560.0
2020-05-15,24827.0,1449610.0,,,1628.0,91188.0
2020-05-16,23885.0,1473495.0,,,1169.0,92357.0
2020-05-17,18627.0,1492122.0,,,815.0,93172.0
2020-05-18,22391.0,1514513.0,,,1222.0,94394.0
2020-05-19,20549.0,1535062.0,,,1428.0,95822.0
2020-05-20,22838.0,1557900.0,,,1470.0,97292.0
2020-05-21,25093.0,1582993.0,,,1182.0,98474.0
2020-05-22,23831.0,1606824.0,,,1204.0,99678.0
2020-05-23,19885.0,1626709.0,,,1078.0,100756.0
2020-05-24,20112.0,1646821.0,,,639.0,101395.0
2020-05-25,19174.0,1665995.0,,,600.0,101995.0
2020-05-26,18692.0,1684687.0,,,653.0,102648.0
2020-05-27,18801.0,1703488.0,,,1452.0,104100.0
2020-05-28,21129.0,1724617.0,,,1066.0,105166.0
2020-05-29,24777.0,1749394.0,,,1109.0,106275.0
2020-05-30,22714.0,1772108.0,,,948.0,107223.0
2020-05-31,18763.0,1790871.0,,,623.0,107846.0
2020-06-01,17853.0,1808724.0,,,767.0,108613.0
2020-06-02,20060.0,1828784.0,,,971.0,109584.0
2020-06-03,19085.0,1847869.0,,,1000.0,110584.0
2020-06-04,27807.0,1875676.0,,,998.0,111582.0
2020-06-05,26338.0,1902014.0,,,870.0,112452.0
2020-06-06,20154.0,1922168.0,,,638.0,113090.0
2020-06-07,17808.0,1939976.0,,,460.0,113550.0
2020-06-08,16917.0,1956893.0,,,502.0,114052.0
2020-06-09,20337.0,1977230.0,,,909.0,114961.0
2020-06-10,21776.0,1999006.0,,,858.0,115819.0
2020-06-11,22309.0,2021315.0,,,811.0,116630.0
2020-06-12,25554.0,2046869.0,,,823.0,117453.0
2020-06-13,24129.0,2070998.0,,,706.0,118159.0
2020-06-14,18951.0,2089949.0,,,348.0,118507.0
